id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
84961	backpack	watch	pencil	pen	phone						NA
81214	fish	apple	vacuum	bedroom	mother	pen	skirt	sister	paris	cat	79.37959493
86728	fire	water	sound	jump	shark	giraffe	fireman	school	boss	grade	75.53266292
86812	Pernicious	Derriere	Rotunda	Mouse	Beam	Erudite	Desert	Zahavi	Reason	Truth	92.27561721
83539	apple	books	horse	shirt	computer	glasses	beach	gym	tent	plate	76.09081737
86791	plant	pencil	shoe	coal	water						NA
84790	car	balloon	sky	paper	tea	shoes	lightbulb	blanket	cookies	couch	80.06544537
83716	mind	soul	thoughts	school	future	time	job	stress	interview	booked	57.23000559
80365	hair	chair	pen	ring	fire	eye	rock	shoe	four	two	72.17866239
81154	floor	sky	theories	colors	feelings	eyes	gardens	space	reality	time	73.99938396
84412	zen	dark	colors	pet	homework	music	yoga	library 	research	friends	77.73212166
81772	liberal	conservative	transgender	church	religion	progress	liberation	capitalism	security	equity	65.94334089
80797	car	watch	water	lemon	ice	building	hammer	pencil	blue	coffee	74.67688797
78778	fire	water	Dirt	air	cat	sock	leaf	keyboard	blanket	chair	70.11299516
86797	pen	book	sleep	water	movies	finger	shoes	sun	food	nose	77.69362887
82423	pencil	car	hat	dog	cat	hamster	school	babysitter	dorm	house	70.06671617
78304	car	watch	pencil	cat	car	dog	policeman	brother	book	boy	72.13276121
85201	cheese	Apple	Pho	Pyramid	Road	Banana	Rhino	Cup	Book	Supercalifragilisticexpialidocious	77.70079309
85819	truck	melody	fiduciary	peace	concomittance	success	lawnmower	doorstop	railgun	hazard	91.55759949
79834	rhubarb	lye	gash	cross	fingernail	tile	dent	basket	mechanic	poster	81.61887223
83614	BALL	NEST	COMPUTER	BED 	SOFA	PAN	CLEATS	DESK	CHAIR	TREE	78.11560537
81733	Blueberry	Basketball	Island	Clock	Dog	Box					NA
81262											NA
84286	Them	Him	Her	Screen	Plate	Water	Soda	It	She	Mom	67.01686659
78766	Lamp	Bed	Desk	Shower	Couch	Sink	Door	Chairs	Window	Files	56.11338928
78802	egg	sandwich	dragonfly	butter	beetle	coffee	potato	brain	cloud	heart	64.35417826
86821	car	laptop	skyscraper	houseplant	ski mask	depression	evolution	screwdriver	hippopotamus	lettuce	89.55202355
84352	banana	car	tv	religion	classroom	tennis	water	night	sign		79.89966855
78310	Pencil	House	Music	Optimistic	Caring	Helpful	Sleep	Trouble	Laugh	Music	77.42895484
86860	phone	book	pencil	paper	ruler	laser	eraser	clock	bracelet	toothbrush 	75.90227659
82345	pencil	Paper	sweater	book	watch	rings	phone	hair	water	car	75.99207425
86200	Dog	Hammer	Light	Trampoline	Controller	grass	ocean	house	backpack	fan	79.13185963
86890	apple	octopus	human	rock	styrofoam	water	light	paper	mind	emotion	76.35212413
82123	dog	elbow	tie	water	red	pole	bed	fear	car	yo-yo	71.17648565
78811	Orange	Couch	Love	Dog	Tree	Apple	Soda	Homework	Shoe	Necklace	67.49536941
85690	animal	computer	rock	tree	plant	house	school	pencil	paper	phone	70.23809928
86389	dog	cat	bear	house	stadium	bag	card	cup	rock	phone	69.09412288
85579	Earth	Water	Food	Colin	Eric	Paul	Light	Keyboard	Monitor	Mouse	70.51525354
86875	buildings	trash	desert	forest	phone	god	time	plane	security 	box	75.20337069
85564	room	kitchen 	cat	dance	playing 	running 	music	phone	gym	sun	68.3027276
78601	Humanity 	Bike 	Peace 	Nature	Resiliency 	Tree	Book				76.15493438
83512	word	estate	god	ball	white	mouse	juxtaposition	wire	football	humidifier	81.50881507
70597	dog	chair	spoon	plane	ball	sand	shoe	bow	truck	sun	73.21557105
86977	Buddha 	Clouds	Spirit	Head	Color	Food	Exercise	Mall	Graduation	Family	78.73547655
84295	light	dark	hole	water	refrigerator	toe	time	pill	banana	thought	69.33865058
86071	time	work	math	philosophy	essay	lunch	grades	vr	church	love	69.86995779
84391	toy	house	paper	pencil	theory	mind	car	cat	elevator	keyboard	72.24178662
76609	phone	card	home	brother	car	cloud	computer	bed	water	food	70.37876805
86182	Apple	Pencil	Pin	Smell	Oats	Light	Shoes	Toy	Pear	Shirt	76.55985515
85270	Hello	Goodbye	Sky	Earth	Death	Life	Game	Disappointment	Video	Class	68.28310848
