id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
84961	happy	sad	scared	bright	dark						NA
81214	pigeon	Space	toothbrush	office	shoes	crayons	california	grandma	book	notebook	81.9474854816993
86728	bird	airplane	hike	oak	sky	flower	rain	granite	windchime	waterfall	69.96288945277531
86812	Meadow	Rake	Butter	Welcome	Mystique	Denounced	Desperate	Wellyed	Dune	Ardent	89.29182715891372
83539	robot	door	bunny	restroom	flower	nails	death	ice 	girl	music	78.34630267960685
86791	void	flow	anxious	vivid	overwhelm	spike	encouragement	fire	life 	time 	78.73426042497158
84790	iron	control	room	yellow	train	doll	red	escape	pink	sky	72.40032603343327
83716	mind	life	calm	lights	vibration	pressure	comfort	bundled	light	stress	65.75367663587842
80365	pop	car	lip	left	right	cute	ice	cat	up	down	70.80939774002347
81154	travel	moonlight	dirt	blueberries	smiles	swirls	collective 	fluid 	air 	freedom 	84.06305665460725
84412	work	dancing 	video games 	family	colors	trucks 	research 	professors 	friends 	future 	77.80146495926948
81772	light	dark	progress	conservatism	chaos	order	acceptance	change	growth	stagnation	72.82065667566799
80797	orange	wheel	math	sun	rock	insect	life	water	bird	flower	76.07852273753711
78778	rock	book	lock	fan	pen	lava	body	ice	girl		79.23401665563385
86797	color	space	time	reality	dark	speed	light	black	eye	sleep	63.78563117413294
82423	Cat	Hamster	Factory	Restroom	Shower	Trashcan	Teacher	Truck	Train	Box	78.07585864093632
78304	tree	paint	circles	sun	moon	butterfly	flower	grass	star	triangle	62.86841730276743
85201	Chair	Sandwich	Shoes	sword	statue	keyboard	potato	chip	fashion catalog	Orion	79.97628902750355
85819	button	moose	trigger	trash	species	regimen	camera	distortion	enigma	sequence	84.36646261917693
79834	wand	chihuahua	lipstick	vomit	tree	knuckle	wrench	wine	song	beaker	81.22675755903835
83614	ship	ball	net 	car	shoes	socks 	tree	pen	charger	phone	76.82771590493974
81733	Party	Jewelry	Comets	Darkness	Shirt	Medicine	Printer	Cheese	Technology	Train	87.36601671026577
81262											NA
84286	Stars	Color	Blue	Purple	Green	Her 	Them	Him 	She 	God	59.67956142766135
78766	Truck	Shower 	Signs	Train	Machine	Colors	Sounds	Ladder	Staircase	Couch	76.48686340876988
78802	light	color	cat	music	star	space	book	spaghetti	worm	steak	74.34824783177604
86821	Limitations	Paint	Nutrients	Infestation	Subway	Sponge	Sand	Window	Habits	Love	81.81002202133338
84352	Apple	Space	Grey	Soccer	Politics	Cows	Water	Box	Projector	Mathematics	79.2944019749051
78310	Colors	Music	Pencil	Glasses	Plate	Bagpack	Laptop	Mic	Book	Statue	77.15033502096222
86860	broom	water bottle	backpack	church	school	hammer	hairbrush	skateboard	legos	funko-pop	76.35875395720913
82345	eyes	drink	jacket 	necklace	tree	flower	shoes	lipgloss	backpack	box	70.32802956444877
86200	fish	phone	car	sky	fork	gasoline	milk	piano	rock	computer	78.40296083262989
86890	octopus	human	apple	mind	emotion	rock	paper	light	intelligence	time	76.04508254499663
82123	frog	walk	fright	sign	dress	jail	night	zoo	ghost	bowl	76.37516114683379
78811	Train	Dog	Robot	Machine	Watch	Water	Ring	Music	Hat	Glasses	72.53475693010148
85690	universe	numbers	hapiness	shapes	family	society	comfort	death	deity	ocean	74.26010341871353
86389	truck	scooter	candy	grass	rope	train	ball	dice	shirt	ring	71.79841385001228
85579	Lightbulb	Bread	Door	Room	House	Eric	Gym	Classrooms	Apartments	Dorms	71.19991640959468
86875	ladder	tools	river	factory	timesheet	osha	safety	dull	Model	treat	79.57514338195324
85564	food	computer 	sleep	homework	class	walking	cold	bathroom	water	tissues 	69.3936477814402
78601	Universe 	Plants	Society 	Road	Mountain 	Perspective	Time 				71.37310072070076
83512	text	buddha	cupboard	fingers	electricity	allergies	mathematics	brother	sleeve	cart	87.26387352826784
70597	cat	juice	jacket	bed	tv	mail	water	coffee	sky	nail	73.27921734679313
86977	Water	Fishes	Museum	Beach	Buddha	Mushrooms	Space	Rollarcoaster	Maasage	Calm	75.48707244651658
84295	death	candy	numbers	creation	hands	bliss	web	space	conundrum 	ink	78.0581817563091
86071	universe	connection	Lord	rest	bed	pink	circle	calm	birds	home	75.29544283946355
84391	stairs	ball	robot	cake	computer	building 	truck	train	tree	flower	73.07754322176888
76609	brother	computer	hands	clouds	car	food	water	roses	mail	bed	74.8897352388927
86182	Can	Penny	Orange	Bug	Turtle	Kite	Sun	Lemon	Ice	Soap	74.98871116411118
85270	Bliss	Experience	Sleep	Regret	Future	Relaxed	Work	Class	Connections	Feeling	65.8360759417216
